date;Mexico;US;United Kingdom
2022-05-15;5745652;82564392;22361251
2022-05-16;5752441;82743325;22385203
2022-05-17;5752441;82828079;22393799
2022-05-18;5752441;83032009;22402392
2022-05-19;5752441;83167371;22416204
2022-05-20;5752441;83316621;22422746
2022-05-21;5752441;83343563;22422800
2022-05-22;5752441;83363166;22422800
2022-05-23;5759773;83505877;22448854
2022-05-24;5759773;83589090;22455392
2022-05-25;5759773;83799362;22462129
2022-05-26;5759773;83945070;22458340
2022-05-27;5759773;84053312;22463243
2022-05-28;5759773;84066065;22463260
2022-05-29;5759773;84071889;22463265
2022-05-30;5772996;84132820;22481196
2022-05-31;5775977;84303393;22486997
2022-06-01;5779027;84531065;22492903
2022-06-02;5782405;84652992;22493305
2022-06-03;5782405;84810800;22493328
2022-06-04;5789401;84837269;22493328
2022-06-05;5791282;84852164;22493328
2022-06-06;5792317;85015130;22526949
2022-06-07;5797427;85101992;22537186
2022-06-08;5802672;85301396;22551660
2022-06-09;5802672;85444526;22562275
2022-06-10;5814866;85552295;22571880
2022-06-11;5821262;85586297;22571880
2022-06-12;5823844;85602873;22571882
2022-06-13;5823844;85757502;22600145
2022-06-14;5833738;85847627;22612173
2022-06-15;5843190;86032558;22638832
2022-06-16;5852596;86162743;22651908
2022-06-17;5852596;86302151;22664434
2022-06-18;5852596;86318630;22664435
2022-06-19;5875705;86335558;22664435
2022-06-20;5877837;86432339;22701557
2022-06-21;5891589;86544228;22717987
2022-06-22;5891589;86729730;22751393
2022-06-23;5906953;86879094;22769958
2022-06-24;5923086;86996913;22786431
2022-06-25;5956732;87036551;22786805
2022-06-26;5962615;87057631;22786805
2022-06-27;5965958;87221662;22834153
2022-06-28;5986917;87318916;22855565
2022-06-29;5986917;87509265;22895669
2022-06-30;6034602;87676950;22918904
2022-07-01;6058689;87834070;22941360
2022-07-02;6058689;87853068;22941360
2022-07-03;6089600;87860350;22941362
2022-07-04;6093835;87940798;22941382
2022-07-05;6121808;88080958;22942394
2022-07-06;6152924;88281552;23086282
2022-07-07;6185219;88423636;23086445
2022-07-08;6185219;88561988;23088053
2022-07-09;6249983;88589412;23088054
2022-07-10;6259325;88612362;23088054
2022-07-11;6265311;88814577;23088074
2022-07-12;6301645;88961838;23088446
2022-07-13;6338991;89165244;23280870
2022-07-14;6373876;89339477;23280957
2022-07-15;6408443;89489336;23282710
2022-07-16;6439616;89528797;23282710
2022-07-17;6448477;89547608;23282710
2022-07-18;6448477;89712243;23282749
2022-07-19;6488358;89830497;23282749
2022-07-20;6523019;90046261;23421534
2022-07-21;6556679;90200438;23421574
2022-07-22;6588854;90367064;23422743
2022-07-23;6617393;90390185;23422751
